"title","location","rent_per_month","rooms","area_sq_m","czynsz","url"
"Mieszkanie trzypokojowe 51m2 z aneksem kuchennym","Krzyki","2800","3","51","+ czynsz: 600 zł/miesiąc","/pl/oferta/mieszkanie-trzypokojowe-51m2-z-aneksem-kuchennym-ID4iVFl"
"nowe – Madalińskiego 3/47b - boczna Pułaskiego","Krzyki","3444","3","50.06","+ czynsz: 456 zł/miesiąc","/pl/oferta/nowe-madalinskiego-3-47b-boczna-pulaskiego-ID4kJGu"
"Mieszkanie centrum Wrocławia ul Gwiaździsta","Krzyki","3000","2","48","+ czynsz: 650 zł/miesiąc","/pl/oferta/mieszkanie-centrum-wroclawia-ul-gwiazdzista-ID4kjIg"
"Wynajmę mieszkanie","Krzyki","2000","1","33","+ czynsz: 400 zł/miesiąc","/pl/oferta/wynajme-mieszkanie-ID4kJEQ"
"Do wynajęcia 3-pokojowe Wrocław Nowy Dwór","Fabryczna","2950","3","60.4","+ czynsz: 1000 zł/miesiąc","/pl/oferta/do-wynajecia-3-pokojowe-wroclaw-nowy-dwor-ID4kJEa"
"Nowe / 3 pokoje / wysoki standard / Stare Miasto","Stare Miasto","3500","3","60","+ czynsz: 650 zł/miesiąc","/pl/oferta/nowe-3-pokoje-wysoki-standard-stare-miasto-ID4kJDX"
"Top Lokalizacja | 3 pokoje + antresola | od zaraz","Krzyki","2800","3","75","+ czynsz: 750 zł/miesiąc","/pl/oferta/top-lokalizacja-3-pokoje-antresola-od-zaraz-ID4kJDz"
"Balkon/przestronne/winda/Balcony/spacious/elevator","Śródmieście","3600","3","66","+ czynsz: poszukaj w opisie","/pl/oferta/balkon-przestronne-winda-balcony-spacious-elevator-ID4kJDs"
"Nowe - Grabiszyńska, apartament + garaż","Fabryczna","2690","1","37","+ czynsz: 640 zł/miesiąc","/pl/oferta/nowe-grabiszynska-apartament-garaz-ID4kyin"
"Ul.Legnicka_1Pok_Od Zaraz","dolnośląskie","2200","1","23","+ czynsz: 400 zł/miesiąc","/pl/oferta/ul-legnicka-1pok-od-zaraz-ID4kJDo"
"nowe – Kopycińskiego 15/46 - bez pośredników","Krzyki","3332","3","64.67","+ czynsz: 550 zł/miesiąc","/pl/oferta/nowe-kopycinskiego-15-46-bez-posrednikow-ID4klXV"
"nowe – Kopycińskiego 5/11 - bez pośredników","Krzyki","2363","2","41.38","+ czynsz: 352 zł/miesiąc","/pl/oferta/nowe-kopycinskiego-5-11-bez-posrednikow-ID4kJDe"
"2 pokojowe mieszkanie na nowym osiedlu - ENG!","Krzyki","2800","2","37","+ czynsz: 500 zł/miesiąc","/pl/oferta/2-pokojowe-mieszkanie-na-nowym-osiedlu-eng-ID4h7Ro"
"Nowe, ładne ogrodzone osiedle, Kowale, balkon","Śródmieście","2500","2","31","+ czynsz: 340 zł/miesiąc","/pl/oferta/nowe-ladne-ogrodzone-osiedle-kowale-balkon-ID4kaVv"
"Mieszkanie 3 - pokojowe z balkonem","Krzyki","3300","3","60","+ czynsz: 567 zł/miesiąc","/pl/oferta/mieszkanie-3-pokojowe-z-balkonem-ID4kvlU"
"Rondo Verona 4pokoje, 2łazienki, 2 garaże","Krzyki","6000","4","100","+ czynsz: poszukaj w opisie","/pl/oferta/rondo-verona-4pokoje-2lazienki-2-garaze-ID4kxeH"
"Student Depot Kawalerka Wrocław [Studio Flat]","Stare Miasto","1820","1","16","+ czynsz: 180 zł/miesiąc","/pl/oferta/student-depot-kawalerka-wroclaw-studio-flat-ID4klcE"
"Lux/2020/Kwadrat/3pok/Klima/2garaze/3 balkony","Fabryczna","4000","3","63.5","+ czynsz: 745 zł/miesiąc","/pl/oferta/lux-2020-kwadrat-3pok-klima-2garaze-3-balkony-ID4kz5t"
"Jedności Narodowej idealne dla pary,media miejskie","Śródmieście","2700","2","45","+ czynsz: poszukaj w opisie","/pl/oferta/jednosci-narodowej-idealne-dla-pary-media-miejskie-ID4kGrI"
"NOWE PIERWSZY NAJEMCA Spiżowa wyposażone w pełni","Fabryczna","4500","3","65","+ czynsz: poszukaj w opisie","/pl/oferta/nowe-pierwszy-najemca-spizowa-wyposazone-w-pelni-ID4klbX"
"Mieszkanie, 36 m², Wrocław","Fabryczna","2000","2","36","+ czynsz: 650 zł/miesiąc","/pl/oferta/mieszkanie-36-m-wroclaw-ID4kJAY"
"NOWE Objazdowa ogródek,garderoba,garaż,tv/internet","Fabryczna","3500","2","45","+ czynsz: poszukaj w opisie","/pl/oferta/nowe-objazdowa-ogrodek-garderoba-garaz-tv-internet-ID4kCxU"
"Ładna Kawalerka | ul. Graniczna | Airport |","Fabryczna","2350","1","26","+ czynsz: 450 zł/miesiąc","/pl/oferta/ladna-kawalerka-ul-graniczna-airport-ID4hsil"
"Kawalerka z balkonem i garażem - Opolska","Krzyki","2200","1","34.54","+ czynsz: 310 zł/miesiąc","/pl/oferta/kawalerka-z-balkonem-i-garazem-opolska-ID4kJzz"
"2 pok. Taras | Prywatny | Garaż | Pralnia","Fabryczna","2200","2","57","+ czynsz: poszukaj w opisie","/pl/oferta/2-pok-taras-prywatny-garaz-pralnia-ID4kJzw"
"2 pokojowe Balkon Garaż Komórka Centauris Ślęzna","Krzyki","2800","2","40","+ czynsz: 400 zł/miesiąc","/pl/oferta/2-pokojowe-balkon-garaz-komorka-centauris-slezna-ID4kJz1"
"3 pok | na Krzykach | Spokojna okolica","Krzyki","3300","3","51","+ czynsz: poszukaj w opisie","/pl/oferta/3-pok-na-krzykach-spokojna-okolica-ID4kJyY"
"Przestronna kawalerka z osobną kuchnią – ul. Kości","Krzyki","2200","1","40","+ czynsz: poszukaj w opisie","/pl/oferta/przestronna-kawalerka-z-osobna-kuchnia-ul-kosci-ID4kJxv"
"nowe – Białowieska 118/30 - bez pośredników","Fabryczna","2820","2","36.52","+ czynsz: 329 zł/miesiąc","/pl/oferta/nowe-bialowieska-118-30-bez-posrednikow-ID4kJtl"
"Apartament 3-pokojowy z ogrodem | Ogrody Hallera","Krzyki","5000","3","80","+ czynsz: 1000 zł/miesiąc","/pl/oferta/apartament-3-pokojowy-z-ogrodem-ogrody-hallera-ID4kxuo"
"No commission! NEW Microstudio with AC | Traugutta","Stare Miasto","2100","1","16.59","+ czynsz: 209 zł/miesiąc","/pl/oferta/no-commission-new-microstudio-with-ac-traugutta-ID4kC1O"
"Mieszkanie dwupokojowe 36m2 z aneksem kuchennym","Krzyki","2150","2","36","+ czynsz: 550 zł/miesiąc","/pl/oferta/mieszkanie-dwupokojowe-36m2-z-aneksem-kuchennym-ID4iVzL"
"3 pokoje z tarasem | Zakładowa | Bez prowizji","Psie Pole","4160","3","59","+ czynsz: 520 zł/miesiąc","/pl/oferta/3-pokoje-z-tarasem-zakladowa-bez-prowizji-ID4kzZW"
"Zakładowa | Studio z tarasem | Bez prowizji","Psie Pole","2220","1","19","+ czynsz: 170 zł/miesiąc","/pl/oferta/zakladowa-studio-z-tarasem-bez-prowizji-ID4kzYH"
"Apartament 2-pokojowy, centrum, ul. Matejki","Śródmieście","4000","2","60","+ czynsz: 800 zł/miesiąc","/pl/oferta/apartament-2-pokojowy-centrum-ul-matejki-ID4kJrJ"
"Wrocław ul Sołtysowicka z miejscem postojowym","Psie Pole","2600","2","29.5","+ czynsz: poszukaj w opisie","/pl/oferta/wroclaw-ul-soltysowicka-z-miejscem-postojowym-ID4kJr5"
"Wrocław ul. Sołtysowicka z miejscem postojowym","Psie Pole","2200","1","27.5","+ czynsz: poszukaj w opisie","/pl/oferta/wroclaw-ul-soltysowicka-z-miejscem-postojowym-ID4kJr7"
"Wrocław ul. Sołtysowicka z miejscem postojowym","Psie Pole","2200","1","25.5","+ czynsz: poszukaj w opisie","/pl/oferta/wroclaw-ul-soltysowicka-z-miejscem-postojowym-ID4kJr4"
"Centrum/Dubois/ 2 Pok. / Rozkład/Toplokalizacja","dolnośląskie","2199","2","46.1","+ czynsz: 347 zł/miesiąc","/pl/oferta/centrum-dubois-2-pok-rozklad-toplokalizacja-ID4kJpZ"
"Lux/Krzyki/Jagodno/1-Szy Najem/Garaż/Winda/Premium","dolnośląskie","2650","2","38.1","+ czynsz: 300 zł/miesiąc","/pl/oferta/lux-krzyki-jagodno-1-szy-najem-garaz-winda-premium-ID4kJpW"
"nowe – Białowieska 120/41 - bez pośredników","Fabryczna","3072","2","47.68","+ czynsz: 430 zł/miesiąc","/pl/oferta/nowe-bialowieska-120-41-bez-posrednikow-ID4kF9x"
"4 pokojowe mieszkanie na wynajem, ul.Dyrekcyjna","Krzyki","5500","4","74","+ czynsz: 900 zł/miesiąc","/pl/oferta/4-pokojowe-mieszkanie-na-wynajem-ul-dyrekcyjna-ID4kHYh"
"Nowa Kawalerka ul. Nowowiejska OD ZARAZ!","Śródmieście","2000","1","25","+ czynsz: 400 zł/miesiąc","/pl/oferta/nowa-kawalerka-ul-nowowiejska-od-zaraz-ID4kGA4"
"Stylowy apartament/biuro, 80m2, Śródmieście(eng.)","Śródmieście","5000","3","80","+ czynsz: 292 zł/miesiąc","/pl/oferta/stylowy-apartament-biuro-80m2-srodmiescieeng-ID46tyA"
"nowe – Białowieska 120/54 - bez pośredników","Fabryczna","2874","2","36.25","+ czynsz: 327 zł/miesiąc","/pl/oferta/nowe-bialowieska-120-54-bez-posrednikow-ID4kBkv"
"Lwowska/ok. Grabiszyńskiej, 2 pokoje, umeblowane!","Krzyki","2650","2","36","+ czynsz: 650 zł/miesiąc","/pl/oferta/lwowska-ok-grabiszynskiej-2-pokoje-umeblowane-ID4kJpv"
"Okolice ul.Maślickiej/Nowe/Balkon/Komórka/Garaż","Fabryczna","3000","2","38","+ czynsz: 500 zł/miesiąc","/pl/oferta/okolice-ul-maslickiej-nowe-balkon-komorka-garaz-ID4kJpi"
"RYNEK: Spacious, stylish, elegant luxury apartment","Rynek","5900","2","90","+ czynsz: 600 zł/miesiąc","/pl/oferta/rynek-spacious-stylish-elegant-luxury-apartment-ID4iVG0"
"Studio 32 m2/klimatyzacja/balkon/Legnicka","Stare Miasto","2400","1","32","+ czynsz: 380 zł/miesiąc","/pl/oferta/studio-32-m2-klimatyzacja-balkon-legnicka-ID4kooR"
"nowe – Sienkiewicza 20/11C - bez pośredników","Śródmieście","2849","2","44.01","+ czynsz: 396 zł/miesiąc","/pl/oferta/nowe-sienkiewicza-20-11c-bez-posrednikow-ID4kfwX"
"nowe – Świętokrzyska 37/40a - bez pośredników","Śródmieście","3026","2","50.97","+ czynsz: 459 zł/miesiąc","/pl/oferta/nowe-swietokrzyska-37-40a-bez-posrednikow-ID4kJnf"
"Kawalerka Port Popowice. DRUGI NAJEM!","Fabryczna","2400","1","30","+ czynsz: 450 zł/miesiąc","/pl/oferta/kawalerka-port-popowice-drugi-najem-ID4fNUl"
"Nowe studio w apartamentowcu przy Ks. Witolda","Śródmieście","2490","1","28","+ czynsz: 500 zł/miesiąc","/pl/oferta/nowe-studio-w-apartamentowcu-przy-ks-witolda-ID4kJmD"
"Pierwszy Najem* rozkładowe* Nadodrze* Od Zaraz*","Nadodrze","2600","2","35","+ czynsz: 200 zł/miesiąc","/pl/oferta/pierwszy-najem-rozkladowe-nadodrze-od-zaraz-ID4kJmA"
"STUDIO 27m2 z aneksem kuchennym","Krzyki","1900","1","27","+ czynsz: 400 zł/miesiąc","/pl/oferta/studio-27m2-z-aneksem-kuchennym-ID4iVzO"
"Rozkładowe, wyposażone mieszkanie_Nowe budownictwo","Krzyki","2600","2","40","+ czynsz: 500 zł/miesiąc","/pl/oferta/rozkladowe-wyposazone-mieszkanie-nowe-budownictwo-ID4kglU"
"Kawalerka z balkonem od zaraz! | ul. Królewiecka","Fabryczna","2000","1","30","+ czynsz: poszukaj w opisie","/pl/oferta/kawalerka-z-balkonem-od-zaraz-ul-krolewiecka-ID4kJkj"
"Kawalerka z Sypialnią | Widok na rzekę | Dożynkowa","Krzyki","1900","2","31","+ czynsz: poszukaj w opisie","/pl/oferta/kawalerka-z-sypialnia-widok-na-rzeke-dozynkowa-ID4kJkc"
"Wynajmę, 2 pokojowe, umeblowane, Legnicka","Fabryczna","2600","2","49","+ czynsz: 500 zł/miesiąc","/pl/oferta/wynajme-2-pokojowe-umeblowane-legnicka-ID4kJjR"
"3 pok. 66m2 | Centrum | zieleń | po remoncie","Śródmieście","3600","3","66","+ czynsz: 886 zł/miesiąc","/pl/oferta/3-pok-66m2-centrum-zielen-po-remoncie-ID4kE2G"
"Sienkiewicza 54m2, Ogrody Tumskie, wysoki standard","Śródmieście","4000","2","54","+ czynsz: 440 zł/miesiąc","/pl/oferta/sienkiewicza-54m2-ogrody-tumskie-wysoki-standard-ID483Rb"
"Apartament w pięknej willi na Zaciszu!","Śródmieście","7500","4","140","+ czynsz: 2000 zł/miesiąc","/pl/oferta/apartament-w-pieknej-willi-na-zaciszu-ID4kJj8"
"Nowy apartamentowiec, piękne 2p ,wyposażone","Krzyki","2500","2","33","+ czynsz: poszukaj w opisie","/pl/oferta/nowy-apartamentowiec-piekne-2p-wyposazone-ID4kJj7"
"nowe mieszkanie, standard premium, top miejscówka","Krzyki","3800","2","42","+ czynsz: 800 zł/miesiąc","/pl/oferta/nowe-mieszkanie-standard-premium-top-miejscowka-ID4kA0K"
"Mieszkanie do wynajęcia","Stare Miasto","2400","2","60","+ czynsz: 798 zł/miesiąc","/pl/oferta/mieszkanie-do-wynajecia-ID4kA0k"
"Mieszkanie 2 pok + kuchnia | Klimatyzacja | Garaż","Krzyki","3299","2","52","+ czynsz: 650 zł/miesiąc","/pl/oferta/mieszkanie-2-pok-kuchnia-klimatyzacja-garaz-ID4krS3"
"4-pok | Rozkład | Balkon | Krzyki","Krzyki","4199","4","74","+ czynsz: 1050 zł/miesiąc","/pl/oferta/4-pok-rozklad-balkon-krzyki-ID4kyJX"
"Nowoczesne mieszkanie 54m2 Zakrzów","Psie Pole","2600","2","54","+ czynsz: 900 zł/miesiąc","/pl/oferta/nowoczesne-mieszkanie-54m2-zakrzow-ID3WYl6"
"Wrocław, Fabryczna, Grabiszyn, Mosiężna","Fabryczna","2700","2","49","+ czynsz: poszukaj w opisie","/pl/oferta/wroclaw-fabryczna-grabiszyn-mosiezna-ID4kJew"
"2 pok. / 45m2/ przy Galerii Dominikańskiej","Stare Miasto","2500","2","45","+ czynsz: 600 zł/miesiąc","/pl/oferta/2-pok-45m2-przy-galerii-dominikanskiej-ID4kJdX"
"Atal Towers/blisko Rynku, taras z widokiem na Odrę","Stare Miasto","3500","2","45","+ czynsz: 680 zł/miesiąc","/pl/oferta/atal-towers-blisko-rynku-taras-z-widokiem-na-odre-ID4kJdT"
"Mieszkanie 2pokojowe / loggia / Krzyki - Rondo","Krzyki","2500","2","33","+ czynsz: poszukaj w opisie","/pl/oferta/mieszkanie-2pokojowe-loggia-krzyki-rondo-ID4kJcx"
"4 pokojowe mieszkanie na wynajem - Wrocław Borek","Krzyki","6500","4","95","+ czynsz: poszukaj w opisie","/pl/oferta/4-pokojowe-mieszkanie-na-wynajem-wroclaw-borek-ID4khFd"
"!!/Centrum/Dubois/ 2 Pok. / Rozkład/Toplokalizacja","dolnośląskie","2299","2","46.1","+ czynsz: 347 zł/miesiąc","/pl/oferta/centrum-dubois-2-pok-rozklad-toplokalizacja-ID4kIkj"
"2 pokoje po remoncie Kosmonautów OD ZARAZ","Fabryczna","2500","2","45","+ czynsz: 481 zł/miesiąc","/pl/oferta/2-pokoje-po-remoncie-kosmonautow-od-zaraz-ID4kE0p"
"RED - Mieszkanie 42 m2 na Jagodno, Wrocław - NOWE","Krzyki","3100","2","42.14","+ czynsz: 400 zł/miesiąc","/pl/oferta/red-mieszkanie-42-m2-na-jagodno-wroclaw-nowe-ID4kJbB"
"2 pokojowe, pełen rozkład w Śródmieściu","Śródmieście","2500","2","54","+ czynsz: poszukaj w opisie","/pl/oferta/2-pokojowe-pelen-rozklad-w-srodmiesciu-ID4ky2C"
"Dorzecze Legnickiej, 2 pok, balkon, klimatyzacja!","Fabryczna","2500","2","32","+ czynsz: 580 zł/miesiąc","/pl/oferta/dorzecze-legnickiej-2-pok-balkon-klimatyzacja-ID4kJbe"
"Nowe mieszkanie, osobna kuchnia, taras garaż 59m2","Psie Pole","3000","2","59.9","+ czynsz: 800 zł/miesiąc","/pl/oferta/nowe-mieszkanie-osobna-kuchnia-taras-garaz-59m2-ID4kJaN"
"★WYNAJEM Jasny Przestronny Apartament przy Rzece ★","Stare Miasto","10","3","105","+ czynsz: 1150 zł/miesiąc","/pl/oferta/wynajem-jasny-przestronny-apartament-przy-rzece-ID4kJaG"
"2 pok. Wrocław Jagodno bezpośr. komfortowe","Krzyki","2300","2","35","+ czynsz: 531,60 zł/miesiąc","/pl/oferta/2-pok-wroclaw-jagodno-bezposr-komfortowe-ID4fmDm"
"Mieszkanie dwupokojowe na wynajem","Psie Pole","2400","2","41","+ czynsz: 400 zł/miesiąc","/pl/oferta/mieszkanie-dwupokojowe-na-wynajem-ID4jAsP"
"Wynajmę mieszkanie 70m2 + miejsce w garażu gratis!","Fabryczna","2800","4","70","+ czynsz: 560 zł/miesiąc","/pl/oferta/wynajme-mieszkanie-70m2-miejsce-w-garazu-gratis-ID4kJ9v"
"Wrocław 2 pok. Wynajem Kościuszki 130 Nowa Papiern","Stare Miasto","2800","2","39","+ czynsz: 650 zł/miesiąc","/pl/oferta/wroclaw-2-pok-wynajem-kosciuszki-130-nowa-papiern-ID4kIOQ"
"Komfortowe 3 pok. mieszkanie z garażem","Stare Miasto","3500","3","55.91","+ czynsz: 802 zł/miesiąc","/pl/oferta/komfortowe-3-pok-mieszkanie-z-garazem-ID4kjwM"
"Apartament 67m2 z tarasem 30m2 BEZPOŚREDNIO","Fabryczna","4500","2","67","+ czynsz: 500 zł/miesiąc","/pl/oferta/apartament-67m2-z-tarasem-30m2-bezposrednio-ID43mmy"
"nowe – Madalińskiego 3/1a - boczna Pułaskiego","Krzyki","2231","1","29.64","+ czynsz: 282 zł/miesiąc","/pl/oferta/nowe-madalinskiego-3-1a-boczna-pulaskiego-ID4kBYU"
"Różanka 3 pokojowe z widokiem na Odrę","Psie Pole","2800","3","80.5","+ czynsz: poszukaj w opisie","/pl/oferta/rozanka-3-pokojowe-z-widokiem-na-odre-ID4kJ8B"
"Stylowy apartament widokiem na Odrę | 3 pokoje","Nadodrze","4900","3","64","+ czynsz: 650 zł/miesiąc","/pl/oferta/stylowy-apartament-widokiem-na-odre-3-pokoje-ID4gdXj"
"Wysoki Standard-Miejsce Postojowe-Balkon","Stare Miasto","3700","3","59","+ czynsz: 900 zł/miesiąc","/pl/oferta/wysoki-standard-miejsce-postojowe-balkon-ID4kJ7Z"
"Ekskluzywny apartament w ciszy i zieleni, winda,HO","Fabryczna","3950","3","60","+ czynsz: 450 zł/miesiąc","/pl/oferta/ekskluzywny-apartament-w-ciszy-i-zieleni-winda-ho-ID4a51B"
"Wrocław, ul. Łużycka - kameralny domek","Psie Pole","3000","2","50","+ czynsz: 500 zł/miesiąc","/pl/oferta/wroclaw-ul-luzycka-kameralny-domek-ID4klj3"
"Mieszkanie 2-pokojowe z garażem, ul Szparagowa","Krzyki","3000","2","53.5","+ czynsz: 525 zł/miesiąc","/pl/oferta/mieszkanie-2-pokojowe-z-garazem-ul-szparagowa-ID4kA77"
"Bez Prowizji NOWE Studio, klimatyzacja | Traugutta","Stare Miasto","2100","1","18.25","+ czynsz: 209 zł/miesiąc","/pl/oferta/bez-prowizji-nowe-studio-klimatyzacja-traugutta-ID4kBZx"
"✅Apartament Blisko Rynku ✅AKCEPTUJEMY ZWIERZĘTA ✅","Stare Miasto","3500","2","38.15","+ czynsz: 550 zł/miesiąc","/pl/oferta/apartament-blisko-rynku-akceptujemy-zwierzeta-ID4krJU"
"Super oferta","Krzyki","4500","3","74","+ czynsz: poszukaj w opisie","/pl/oferta/super-oferta-ID4kHNb"
"Wynajmę przestrzenne, jasne mieszkanie Wrocław 51m","Fabryczna","2400","2","51","+ czynsz: 760 zł/miesiąc","/pl/oferta/wynajme-przestrzenne-jasne-mieszkanie-wroclaw-51m-ID4kzN3"
"Nowe mieszkanie, 2 pokoje, centrum, balkon,parking","Krzyki","3000","2","44","+ czynsz: 600 zł/miesiąc","/pl/oferta/nowe-mieszkanie-2-pokoje-centrum-balkon-parking-ID4khnK"
"2 pokoje | Okolice Bajana | Nowsze budownictwo","Fabryczna","3200","2","49","+ czynsz: 550 zł/miesiąc","/pl/oferta/2-pokoje-okolice-bajana-nowsze-budownictwo-ID4jEPJ"
"Pierwszy najem | 2 pokoje | Zakrzów","Psie Pole","2500","2","36","+ czynsz: 515 zł/miesiąc","/pl/oferta/pierwszy-najem-2-pokoje-zakrzow-ID4kzsR"
"2 pokoje| Mąślice| osobna kuchnia| Wolne od zaraz","Fabryczna","2700","2","50","+ czynsz: 510 zł/miesiąc","/pl/oferta/2-pokoje-maslice-osobna-kuchnia-wolne-od-zaraz-ID4kCWe"
"Сдам 2 ком квартиру Wrocław , garaż","Krzyki","2500","2","42","+ czynsz: poszukaj w opisie","/pl/oferta/2-wroclaw-garaz-ID4kJ6m"
